name,logm1,logm2,lograd1,lograd2
FS Mon                    , 0.2127, 0.1649, 0.3120, 0.2119
KIC 9777062               , 0.2049, 0.1520, 0.2415, 0.1886
IO Aqr                    , 0.1956, 0.2188, 0.3406, 0.3967
PV Pup                    , 0.1945, 0.1915, 0.1881, 0.1758
V442 Cyg                  , 0.1942, 0.1492, 0.3164, 0.2206
KIC 8410637               , 0.1923, 0.1212, 1.0310, 0.1962
KIC 11285625              , 0.1884, 0.0792, 0.3269, 0.1679
EY Cep                    , 0.1827, 0.1755, 0.1652, 0.1667
RZ Cha                    , 0.1813, 0.1787, 0.3549, 0.3549
HD 71636                  , 0.1798, 0.1089, 0.1962, 0.1339
HD 187669                 , 0.1772, 0.1775, 1.0542, 1.3545
BW Aqr                    , 0.1726, 0.1418, 0.3147, 0.2524
GX Gem                    , 0.1726, 0.1664, 0.3668, 0.3499
DM Vir                    , 0.1626, 0.1608, 0.2463, 0.2463
CD Tau                    , 0.1590, 0.1361, 0.2548, 0.1998
OGLE-LMC-ECL15260         , 0.1584, 0.1541, 1.3713, 1.6250
BG Ind                    , 0.1547, 0.1116, 0.3598, 0.2253
AD Boo                    , 0.1504, 0.0824, 0.2074, 0.0849
BF Dra                    , 0.1504, 0.1383, 0.3193, 0.2838
BK Peg                    , 0.1504, 0.0993, 0.2984, 0.1685
VZ Cep                    , 0.1467, 0.0444, 0.1858, 0.0179
NGC 7142 V1               , 0.1389, 0.1389, 0.2084, 0.2076
ASAS J052821+0338.5       , 0.1383, 0.1235, 0.2625, 0.2380
V1143 Cyg                 , 0.1319, 0.1229, 0.1290, 0.1216
AQ Ser                    , 0.1290, 0.1514, 0.3581, 0.3893
RT CrB                    , 0.1281, 0.1332, 0.4175, 0.4692
UZ Dra                    , 0.1271, 0.0899, 0.1173, 0.0607
IT Cas                    , 0.1239, 0.1232, 0.2022, 0.1931
NP Per                    , 0.1208, 0.0194, 0.1374, 0.0896
KIC 8430105               , 0.1173,-0.0809, 0.8837,-0.1135
HS Hya                    , 0.1166, 0.1028, 0.1116, 0.0913
V1130 Tau                 , 0.1159, 0.1436, 0.1729, 0.2509
CO And                    , 0.1103, 0.1019, 0.2373, 0.2289
V375 Cep                  , 0.1099,-0.0600, 0.2103,-0.0472
