Star,RA (2000),Dec(2000),Umag,Bmag,Vmag,SpType,
BD 23 551                      ,57.070458,23.636806,10.74,10.67,10.11,F9V            
HD 23975                       ,57.5736362,25.3795678,10.17,10.146,9.733,G0             ,
BD 23 527                      ,56.723908,23.5836,11.607,11.1,10.6,G0V            
TYC 1799-102-1                 ,55.883137,23.674075,11.949,11.5,11.1,G1             ,
 V1038 Tau                   ,56.0837087,24.7961667,11.26,11.2,10.4,G1-2V          ,
Cl* Melotte 22 DH 262          ,55.8522475,23.2259281,11.39,11.2,10.7,G1V            ,
 V1041 Tau                   ,56.4142,23.754283,14.355,13.42,12.26,G2V            ,
Cl* Melotte 22 SRS 68435       ,56.358242,23.430206,13.949,13.214,12.231,G4V            ,
 V1046 Tau                   ,56.7288337,24.7963417,11.28,11.5,10.6,G5             ,
 V811 Tau                    ,56.338283,23.7275,14.771,13.67,12.57,G5             ,
 V963 Tau                    ,55.9072112,23.5359897,11.82,11.4,10.6,G5V            ,
HD 282975                      ,56.6570012,23.7877192,11.533,10.8,10,G6V            ,
 V844 Tau                    ,55.676596,23.502872,12.6,13.355,12.353,G7IV           ,
 V1065 Tau                   ,56.667671,23.497789,14.016,13.01,12.02,G7V            ,
 V810 Tau                    ,55.762229,24.669736,15.149,12.97,12.03,G8             ,
Cl* Melotte 22 DH 271          ,55.8933725,23.7619233,12.914,12.35,11.47,G8V            ,
 V1170 Tau                   ,56.109483,24.589706,14.435,12.288,11.461,G8V            ,
Cl* Melotte 22 DH 486          ,56.755915,23.4949428,13.035,12.31,11.47,K0V            ,
 V641 Tau                    ,56.615737,23.5927,15.602,14.28,13.05,K0V            ,
HD 24369                       ,58.3382,23.1236117,11.44,9.83,8.29,K2             ,
 V545 Tau                    ,57.2055,23.97733,13.4,13.61,12.65,K2.5e          ,
 V664 Tau                    ,57.33579,24.77667,12.6,13.71,12.67,K2.5V          ,
 V660 Tau                    ,57.11679,23.30078,12.4,13.66,12.6,K2V            ,
 V370 Tau                    ,57.55167,24.53294,13.8,14.34,13.14,K3e            ,
 V679 Tau                    ,58.009325,24.663264,12.6,13.57,11.41,K3V            ,
 V652 Tau                    ,56.920733,22.930014,12.4,13.28,12.22,K3V            ,
 V642 Tau                    ,56.655283,24.343528,13.2,13.31,12.16,K3V            ,
 V700 Tau                    ,55.860921,24.994333,13.6,13.58,12.5,K3V            ,
 V812 Tau                    ,56.517175,23.405536,14.725,13.73,12.66,K3V            ,
Cl* Melotte 22 MSH 175         ,56.77825,23.715169,14.346,13.2,12.18,K3V            ,
 V378 Tau                    ,57.77321,24.73681,13.2,15.14,13.89,K4e            ,
 V376 Tau                    ,57.75963,25.05547,14.6,14.61,13.47,K4e            ,
 V703 Tau                    ,56.890321,24.684222,12.2,13.882,12.809,K5             ,
Cl* Melotte 22 DH 293          ,55.9525,23.539403,16.839,15.39,14.02,K5.5e          ,
 V623 Tau                    ,55.903837,24.39395,18.373,15.68,14.3,K5.5e          ,
 V1010 Tau                   ,56.460346,23.873947,16.459,14.92,13.59,K5V            ,
 V785 Tau                    ,56.209046,24.911119,15.1,14.53,13.34,K5Ve           ,
 V644 Tau                    ,56.7806,23.226361,14.4,14.71,13.52,K6.5e          ,
 V338 Tau                    ,56.998896,24.731342,14.4,14.71,13.51,K6e            ,
 V677 Tau                    ,57.87475,23.89922,13.7,14.66,13.49,K6V:           ,
 V357 Tau                    ,57.29696,23.55528,13.6,15.6,14.23,K6Ve           ,
 V358 Tau                    ,57.31408,24.56731,15.2,15.78,14.42,K6Ve           ,
 V343 Tau                    ,57.072042,24.504456,16,15.69,14.29,K7.5           ,
 MS Tau                      ,55.982058,24.426389,12.8,15.705,14.339,K7e            ,
 PR Tau                      ,56.647175,23.411778,15.3,16.25,14.77,K7e            ,
Cl* Melotte 22 LLP 15          ,56.24565,23.388964,16.692,15.09,13.77,K7Ve           ,
 QX Tau                      ,56.922658,23.971944,12.4,14.85,13.58,K8e            ,
 OT Tau                      ,56.373233,23.760536,15.973,14.611,13.385,Ke             ,
 HZ Tau                      ,55.16679,24.73586,14.8,17.5,16.2,M              ,
 OQ Tau                      ,56.41265,25.224414,13.9,16.578,15.07,M              ,
 QT Tau                      ,56.877492,24.370589,15,17.29,15.795,M              ,
 KY Tau                      ,55.49554,25.329,13.5,15.7,14.24,M              ,
 NS Tau                      ,56.157412,22.921039,16,17.324,15.746,M              ,
 V386 Tau                    ,57.96075,22.89572,13.5,13.5,17.58,M              ,
 MW Tau                      ,56.068529,23.617867,15,15,17.2,M              ,
 MX Tau                      ,56.096096,24.068303,12.6,15.01,13.76,M:             ,
 V865 Tau                    ,56.86992,22.37658,14.2,16.213,14.769,M:             ,
 V790 Tau                    ,56.53488,23.3475,13,14.85,13.62,M:             ,
