HJD-2450000,mag,error
2158.933113,14.708,0.005
2149.066992,14.715,0.005
2151.050780,14.768,0.005
2153.970914,14.869,0.006
2156.967841,14.766,0.005
2158.967771,14.713,0.005
2149.054648,14.715,0.005
2151.046151,14.785,0.006
2152.068192,14.807,0.005
2156.094044,14.799,0.006
2157.121070,14.768,0.005
2159.148299,14.727,0.005
2149.225206,14.729,0.005
2151.209943,14.789,0.005
2159.203846,14.709,0.005
2150.377569,14.771,0.005
2152.385213,14.817,0.005
2154.373155,14.840,0.005
2156.347448,14.801,0.005
2158.340018,14.741,0.006
2148.437103,14.717,0.005
2150.481898,14.767,0.006
2152.518265,14.805,0.006
2154.536117,14.855,0.006
2156.433854,14.800,0.005
2159.464964,14.716,0.005
2149.558370,14.754,0.006
2152.603959,14.826,0.005
2155.560057,14.817,0.006
2158.562681,14.741,0.006
2149.684418,14.747,0.005
2164.561164,14.811,0.005
2167.560465,14.806,0.005
2161.708564,14.751,0.005
2164.712375,14.849,0.005
2166.735924,14.827,0.005
2168.690277,14.750,0.005
2170.687595,14.700,0.005
2160.854826,14.730,0.005
2164.831066,14.855,0.005
2166.833725,14.846,0.005
2168.867125,14.753,0.005
2161.944876,14.739,0.005
2160.376148,14.720,0.005
2163.550399,14.792,0.005
2166.792183,14.840,0.005
2161.927429,14.739,0.005
2170.923670,14.691,0.005
2163.024008,14.774,0.005
2164.999606,14.853,0.005
2167.033006,14.845,0.005
2170.961769,14.686,0.005
2160.158708,14.680,0.005
2166.109715,14.859,0.005
2167.174247,14.849,0.005
2160.068503,14.697,0.005
2162.184868,14.739,0.006
2167.181606,14.868,0.006
2170.170699,14.726,0.005
2161.306798,14.726,0.005
2163.261151,14.815,0.005
2170.425052,14.722,0.005
2160.380421,14.708,0.005
2162.323023,14.725,0.005
2163.455684,14.763,0.005
2164.436777,14.808,0.005
2165.382144,14.831,0.005
2166.374631,14.867,0.005
2167.369730,14.846,0.005
2168.416221,14.805,0.005
2170.419355,14.712,0.005
2161.505842,14.723,0.005
2164.488644,14.818,0.005
2168.443520,14.809,0.005
2182.344513,14.728,0.005
2172.431154,14.716,0.005
2174.502179,14.741,0.005
2176.431844,14.807,0.005
2178.405661,14.866,0.005
2179.403371,14.839,0.005
2180.460307,14.793,0.005
2182.442552,14.732,0.005
2172.582246,14.705,0.005
2173.614851,14.722,0.005
2174.672499,14.758,0.005
2176.568219,14.815,0.005
2178.558890,14.836,0.005
